x,y,radius
269,357,43.5460510254
264,357,43.5460510254
259,356,43.5718803406
255,356,43.5718803406
253,357,44.0256614685
251,357,44.0256614685
246,357,44.0455284119
243,357,44.0455284119
241,356,44.0710639954
239,357,44.5253715515
237,357,44.5450210571
236,357,44.5450210571
235,357,44.5450210571
233,356,44.601108551
233,355,45.1360054016
233,357,45.5440330505
234,355,45.6345176697
235,355,45.6345176697
237,355,45.6755867004
242,355,45.6345176697
243,354,45.7220840454
250,351,45.6208190918
258,351,45.7023124695
263,345,46.0496635437
276,345,45.975933075
289,344,45.9027748108
301,339,45.6135063171
315,337,45.7752037048
335,338,45.6290473938
352,335,45.5706367493
366,338,45.5956840515
385,335,45.3696517944
7,89,57.4380683899
26,87,57.7663955688
38,88,57.7296180725
47,85,57.848526001
71,89,56.4230461121
88,88,56.2273788452
99,89,56.0737113953
115,90,55.8284721375
129,89,55.7161026001
141,90,55.6138191223
146,89,55.7161064148
146,87,55.9021072388
146,86,55.9973602295
145,85,56.2250938416
143,86,56.3027229309
141,86,56.4880180359
136,86,56.6646690369
134,86,56.6964988708
131,87,56.8092460632
125,87,56.9964065552
121,88,57.0465393066
114,91,57.2935714722
110,92,57.5115966797
103,93,58.0269775391
96,94,58.3755569458
93,94,58.642288208
89,94,58.8845863342
84,95,59.3810119629
81,94,59.6312866211
79,95,59.7851295471
73,93,60.4213829041
71,93,60.6239395142
70,95,60.9037132263
72,96,60.9227142334
72,95,61.1010169983
75,96,61.1006660461
75,95,61.2452850342
79,96,61.1010169983
83,94,61.1915588379
91,95,60.9452781677
101,95,60.7134895325
106,95,60.5525093079
117,95,60.3384895325
121,93,60.4309310913
126,91,60.3115577698
139,92,59.9660301208
156,94,59.4570541382
168,91,59.2875442505
183,92,59.0530433655
195,93,58.6729202271
207,94,58.3888816833
225,93,58.0106048584
244,90,57.7955322266
258,93,57.490524292
274,89,57.4592094421
287,91,57.3853378296
302,88,57.4711952209
322,90,57.5095977783
340,91,57.5644645691
347,90,57.6585769653
363,91,57.9062728882
376,94,58.0090866089
388,102,58.1230926514
402,110,58.2517089844
410,114,58.4110527039
417,119,58.4724807739
421,125,58.4786300659
422,127,58.5009536743
420,128,58.4725875854
418,130,58.3711395264
415,131,58.1628608704
410,129,58.0660438538
405,128,57.8976135254
403,126,57.9763870239
390,123,57.4835128784
379,118,57.1949424744
371,115,57.1231842041
356,108,56.8911170959
349,103,56.8324584961
331,94,56.5743217468
325,88,56.5348510742
304,75,56.4980392456
291,62,56.4053573608
276,44,56.9019432068
255,29,56.8518257141
252,19,56.8353538513
